,anon_ch,subject_ch,created_ch,bucket_order_ch,bucket_name_ch,type_ch,uid_a_ch,uid_ch,id_ch,updated_ch,config_ch,assignment
0,no,"<p>My name is Todd Neal, I&#39;m from Kentucky but live in Madison, Alabama. I&#39;ve been interested in machine learning and have been trying to formalize and round out my self study. This is my first class in the program.</p>",2019-08-19T23:08:17Z,34,Week 8/18 - 8/24,followup,,jzhl7qlwrpagr,jzj0fvskoah19g,2019-08-19T23:08:17Z,{},logistics
1,no,<p>Welcome to the class and the program!</p>,2019-08-19T23:14:04Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj0nbi02e74fv,2019-08-19T23:14:04Z,{},logistics
2,no,<p>Welcome Todd!  You will find there are a lot of folks from the Huntsville area in this program.</p>,2019-08-20T11:05:43Z,34,Week 8/18 - 8/24,feedback,,idfzuuu9fnI,jzjq2i4e8de2fh,2019-08-20T11:05:43Z,{},logistics
3,no,"<p>My name is Kai Sun. I&#39;m a biostatistician working on clinical trials for Alzheimer&#39;s Disease in San Diego. This is my first class in the program. In clinical trials, the adaptive design can be viewed as a restricted version of RL.  </p>",2019-08-19T23:20:50Z,34,Week 8/18 - 8/24,followup,,jzhrun61eu91l9,jzj0w0m98c321b,2019-08-19T23:20:50Z,{},logistics
4,no,"<p>Bandits!</p>
<p></p>
<p>Welcome to the class and the program!</p>",2019-08-19T23:39:01Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj1je8ecji3ks,2019-08-19T23:39:01Z,{},logistics
5,no,"<p>My name is Song Zheng. I am in Atlanta. This is my 8th course. I am working as a software engineer in a car insurance company, ML has become a great tool for the car insurance industry such as damage analysis.</p>",2019-08-19T23:34:37Z,34,Week 8/18 - 8/24,followup,,htgjinstby74xv,jzj1dqhekeq6ld,2019-08-19T23:34:37Z,{},logistics
6,no,<p>Welcome!</p>,2019-08-19T23:39:16Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj1jpzrur23pi,2019-08-19T23:39:16Z,{},logistics
7,no,"<p>Hi, my name is Ronny Hoesada. I live in San Francisco, CA and work for Udacity. I&#39;m interested in RL because of the idea of imitation learning by mimicking human behaviors in certain ways. </p>",2019-08-19T23:40:02Z,34,Week 8/18 - 8/24,followup,,jziehvhblig5if,jzj1koyi9fg31o,2019-08-19T23:40:02Z,{},logistics
8,no,"<p>Hello, My name is Rajesh. I live in NJ. This is my 6th class. I got interested to RL class when took summer  ML4T class and last project was related to RL. That project  get me very curious and  interested to learn deeper about RL.</p>",2019-08-19T23:46:28Z,34,Week 8/18 - 8/24,followup,,jl2gfssgneuU,jzj1sywewv76uj,2019-08-19T23:46:28Z,{},logistics
9,no,<p>I am Vishal. Located in San Jose. Got introduced to RL as part of the ML4T course. This is my 4th class.</p>,2019-08-20T00:00:31Z,34,Week 8/18 - 8/24,followup,,jl2kyqna7q54ck,jzj2b1b19b630g,2019-08-20T00:00:31Z,{},logistics
